Username,Comment
@brentjames2576,Obama was blamed for not being in office by Trump supporters September 11 the gall for them to blame Obama
@leogens1112,conspiracy from the Zionism!
@shireenfatima3581,May the victims soul rest in peace. I was not born in that year when this incident took place can someone please tell what exactly happened because in youtube people made lots of conspiracies
@benny368_,6:35 - The CDC in 2020...
@hafizatube2173,yes it dose Matter
@proburgers2259,"My dad was there that day. He was in a business meeting, but he saw the whole thing unravel."
@samehnabil7664,I remember this moment . Was really unbelievable and upsetting..
@KaiReyes13,"I was 1 yr old when this happened my grandma told me about this so I searched for it online, this is clearly the most heart breaking and gut wrenching event I have ever seen. It's been 19yrs tho."
@NewLeakYT,this is so sad :(
@bigpoppa800,"United we stand, and still standing tall!!! USA"
@mrbennyboy3820,I was only 12 but I still remember it so sad they will never be forgotten
@20builder07,anyone who dislikes this should go to hell
@woahnoah4864,*INSIDE JOB*
@exumamissions311,I WAS BORN IN 2011 IN AUGAST THAT WAS JUST ON MOTH AFTER ME
@Dammio,This is karma for what US did for invading many countries and killing people around the world. I am sorry to say the truth.
@krisone5253,I feel sorry for the young people. This is your future. Let's pray for time . .
@bobafett1404,I still think that the towers shouldn't of fallen. They must of put explosives in there too so it would fall
@andreikonovalov1541,My tears drop even more than in Hiroshima or Nagasaki
@thebesthere2075,This so sooo sadddd I wasnt horn around this time omg- That's why I'm scared of high buildings and I will never live in a tall building
@ilikedount1978,this is times milltary cant respond fast enough
@bigcrapfart7095,"So my ibf lives in Florida, and 19 years ago her dad was supposed to have a meeting in one of the twin towers. Later he got a call saying that the meeting was canceled, wich he was really pissed off about having to fly all the way from Florida to New York. But a few hours later, when he was facetiming my ibf's mom, he saw the news and wasn't so pissed off anymore xD. But really sad that happened, so many people died. Mom's, Dad's , Uncle's, Aunt's, Friends, so MANY people. And the worst part was that the elevators were blocked off. Its just so sad that now look at the world even 19 years after the event. We've got bully's and online bully's, COVID-19, our goverment is a dumbass, and we have people being RACIST AGAIN. God, we are all americans. Why does it matter if you Black, republican, a democrat, Indian, why does it MATTER. We are all Americans, and always help people. *And that is the end of my speech-*"
@misterwong1337,How the NAS instantly drops.
@dailylifewithsteve4460,Next year they better have tight security because people like to have copy cat attacks. Like the Oklahoma City bombing was done because of waco
@chrishamilton5181,Maybe now you know something South Florida State hospital.
@chrishamilton5181,"Something you need to know, non white, Nation of Islam MTV Rocks America!!! Greatest day of my life Cuomo and DeBlasio. And Trump is now an official citizen of the state of Florida, Mr. 29 electoral votes in Mara Lago. All the best ""Stonewall Inn""..."
@Jungle1048,See people standing outside New York with no smart phones recording is something else
@killachi1855,I was 16 years old on this day..i was in a military school and on that day I remember looking up at the sky praying an airplane wouldn't crash on us.its a sad tragic situation that could have been avoided if it wasn't for greed n corruption .too many unanswered questions to this day about 911...the gold below the towers..the fast and diabolical clean up of the mess.the mayor knowing the buildings were gonna fall befor it fell.the lives lost are the least of the worries of Bush.all he wants is money.smh long live 911 victims
@Flashblade,Why the music? Just show the clips.
@abhishekm1903,I was 10 years old when this Tragic incident happened
@RandyR,Why haven't the bastards who did this been put to death? Their sour asses are still setting in prison in Cuba. Thankfully Bin La Din and Osama is now getting their just reward. An eternity in torment. Still one of the Top Ten Life Changng Events of my life.
@randymartineziswatchingliv9623,Thanks for update for my birthday
@renurani2841,This incident prooved the existence of terrorism is the biggest threat to humans. It is not confined only to India but in whole world.
@miabhai8344,US has tested there own feed osama
@sohelyhayat5505,The fact that my brother was born that day
@zanelaux6743,I am watching this for school
@aerodyte6908,Hope those terrorists r enjoying hell
@637gwak8,R.i.p it is a hard time for America but we have to think positive all the lives and family's lost i feel the pain my mom allmost died in9/11 thank god she didnt but think positive if one of ur family members died all I have to say is that God will heal u and make u never forget #wewillneverforget
@riiddisbuk2496,"If God lets me take revenge on those scum in the afterlife, they will not be safe from me. No way. Not ever."
@KevinSweet_,.
@lexbridges9813,I was in 2nd period Spanish in 9th grade... every since that Tuesday.... life got strange.... now covid....
@slamdunk406,I was 12 years old at the time. Such a weird and haunting day. Never forget.
@adamxcix1620,Back when cnn was real news
@husseinmahdi3355,This incident was orchestrated by the US government and accused Muslims and Iraq of it
@qoapaoop-1958,Hahahahahahahahaahahahh
@LondonSullens,you can literally see the stocks crash like crazy
@ryesiiashade9035,I wish my wife lived through 9 11
@octagnl8553,6:33 hmmmmmmmmm
@derekgreyy9116,19 years and these videos and images STILL strike fear in my heart and brings me to tears...i will never forget how scary this was....and how i watched it all on live national TV..
@keaunaabner5932,I am crying I am so sad
@gianfromnumba8,No cap CNN had the worst angles
@jamesotto478,"they say smoke, but it is dust... We are all dust in the wind..."
@hayley8715,"I wish it had been the day people started to wake up. The 'powers' of America & beyond knew this was going to happen. Yet here we all remain being led. I get it though it is extremely difficult to believe, it means 'their' plan works exceptionally well & that we have been fooled our entire lifes. ""It is easier to fool people than convince them that they have been fooled."" (Mark Twain)."
@heyitzlay5527,"People think only the Americans are effected by this but even im british and i cry over the 911 attack all the time, especially yesterday and today its been hard!"
@saraandlife5391,Imagine other countries going through this and worse currently
@ur_m0m570,Btw u came to see this by a tiktok
@lizhodaba,I wish we could be united today as we were 19 years ago
@gamerbox8092,"19 years ago on this day, this happened. R.I.P"
@zainaharb1527,This is very bad no one will ever forget the deaths of these young and old aged people this is sooo sad
@truthbetold8355,"Just Unbelievable. Everytime I watched this it just feels like it's happening now. Sometimes I dont know if I'm fortunate to be part of a historical moment or If I am unfortunate. To all whom lost their lives, R.I.P., to all the first responders, TRUE HEROES!! YOU WILL NEVER BE FORGOTTEN!!!!"
@brianmaxwell2303,President Bush should be held accountable for the lives lost. So happens he was in Florida reading to kids . That coward got the hell out of Dodge before shit hit the fan.
@nedrepko7146,"19 years later, this event is still unforgettable for many Americans"
@mirrrstery,RIP to these poor innocent people.
@SnowAnayathatweirdgirl,"I was 13 when this happened. I remember that day so vividly it's like it was yesterday. I was getting ready for school and watching the Today Show (I liked watching it before school.) I saw the live feed to the first tower and I thought "" Holy shit! "" I thought surely it was an accident and that's when I saw the second plane hit the second tower and I just stood there my mind was going ""What the fuck is going on!!??"" I went to school the t.v's where on in every class some where rolled into class. We found out America was attacked and we all just looked at each other like ""How?? I thought we were safe? HOW?"". I remember kids being pulled out of school. One girl was screaming at the vice principle that her dad was in NYC near the WTC second tower she was screaming at him to help her and he couldn't all he could do was be there with her while she tried to call her dad (Luckily he escaped in time.) I saw people jumping out of those buildings. Seeing people have to pick which way to die is another kind of fucked. Some people were crying I was silent I couldn't talk I just felt like things were gonna get worse were not safe everything has changed. I still can't fully watch clips about it cause I just feel the pain and terror all these innocent people felt. I will always remember the pain of my fellow Americans who died and lost loved ones. The first responders who risked their lives to save people and the brave souls of United 93 who knew they were gonna die, but made sure those fucks didn't get to their destination true act of bravery that I'll never forget. My daughter asked me about 9-11 and I still don't know how to explain it to her today and all I could say was ""It hurts, it's a different pain a sadness.. I hope you never have to witness that kind of tragedy again."" Her generation is dealing with school shootings and now a pandemic so she feels some of those feelings. But, it's nothing like witnessing people die and being so helpless to help them that you cry. I think we all deal with it differently I keep it to myself, but right now I'm just telling strangers how I feel.. cause shit it's crazy times so why not share my emotions and thoughts of this day."
@kikmorajo1,Life is not easy .
@kevandre,"Usually on the anniversary of 9/11 I notice it, make a remark or something and just kind of go on with my day, but... it's kind of hitting different in 2020. I don't know if it's because we're in the midst of a pandemic that has claimed more lives than 9/11 did, or if it's because my state is on fire worse than ever before, or what. But it almost feels like I'm experiencing the actual DAY again, the way my somber mood and heartbeat have been going, watching these videos. Almost twenty fucking years already. Jesus."
@Bjs24311,"God bless..This is bad like, my 4th grade teacher had her moms friend dilivering some stuff and he saw like so many pepole running away and looked back and saw one of the towers just bam..and..i cried when i watched this video and the other vid..i wasn't alive but..- R.i.p. i was born in 2011, and i am 9 at the moment but i want to learn more just more and i want to know just why this happed and this is the most horrible thing that has almost happend in history.. i feel how much panic, fear, scaredness, and hopeless pepole there were..never be hopeless..God bless all.."
@Jitdajet,Fuck Bush
@ieatchildrenstoes6383,Every single year this day always manages to make me cry. May all the innocent people who were killed in this horrible day Rest In Peace
@bexcai9073,"rest in peace. this is so hard to watch, rest in peace everyone.. you will never be forgot. 9/11/2001"
@Sengupta30,It's so sad to watch 1 prayer for the lives that were lost
@fearend3299,When this happened it could take the strongest man to tears it was so sad
@nygearguy,American Airlines Flight 77 was Hijacked and diverted and crashed into the Pentagon. Multiple Towers around the East Coast tracked it until it flew into the Pentagon. This happened people.
@mellow7814,The last time everyone in there was seen was in... September 11th.
@doomasil7232,I have to watch this for school wtf
@sinnit2094,Even though i was not born yet I have teachers and friends that know someone who died on the plane or in the tower .This is hart breaking. May they rest in peace
@weirdlykpop6480,"Today I'm in new York and today is September 11, 2020. I had to watch this video"
@jdthegreat1238,It has been 19 years rip to everybody that died that day
@paintinqz8972,Never forget 9/11/2001. 19 years later.
@EstebanAlejandroMejiaSuarez,Still hurts.
@paoladanielabeltrerosario318,19 years later and my heart still feels sad about this tragedy
@fred9029,Never forget 9/11 2001 19 years later. It is scary and sad to watch these videos.
@silentsharpshooter1404,19 years anniversary
@michaelcharney7019,Rip 19 years later
@unseengaming1351,Today we will stand in a moment of silence for the people we lost today 19 years ago.
@jacobmartinez6819,3:50 just saying that at this time that guy looks like doctor strange
@parkerjohnson8676,19th year after. So sad
@deyaniragutierrez7857,whyyy
@jellyy3493,19 years
@soupysellowisew9025,Today is september 11 2020 and this just makes me cry..
@Unknown_Commander,R.I.P to those people who lost their live in this event
@totifaddye6587,The fact that after this It changed the world Not just the country but the whole planet
@grozabeast3329,So sad
@susansykes8049,The UK has seen many acts of evil terrorism in our country over the decades but watching this was chilling to see. May the victims murdered that day never be forgotten
@thegreatoutdoors1000,19 years today
@mildastorys1378,What's wrong with pilots the wanted die?
@theconductoresplin8092,Another day that will live in infamy
@louissosa803,Trump and bush
@aimeedejesus8154,"Today, September 11, 2020, marking nineteenth- year since the attack."
@bruhtdda6241,It's the 19th anniversary... I may not be in America to pay respects but I'm hoping a prayer and a comment will do
@baileyheiney5694,never forget. 19 years later. rest in peace to all who passed.
@username121709,"Every 9/11, I take a day off work and pull up a chair at 7AM to align with the start time of the morning TV news programs and spend the next 12 hours reliving every minute of it as it happened. Afterwards, I cry myself to sleep. Almost 20 years later it still hits me like a ton of bricks. Getting ready to relive all of this again tomorrow."
@LemUntivero,"I am revisiting the events of that day of terror. No matter how many times I watched this videos as it happens, still I can't help but cry and feel sad for the innocent victims."
@dannywise2589,The day that will be never forgetting
@sydneysrebornnursery2787,September 11th is tomorrow.. rip everyone :(
@nathanrivera4350,"This brought the world to its knees, when America gets attacked like this it was a global shock"
@dayanari_slp8389,Who's watching this 2020? So sad!
@jennylindoff4453,Never forget
@xhaydenx452,I was born on September 11 but a different year my birthday is a few days away from here and my mom got me a cup with a skeleton hand reaching to get up and this just scares me
@brookegregg8115,ok soooooooooo ummmm we were ATTACKED and AMERICA STILL LIVES ON? GOOOOOOOOOOOOOO AMERICA!!!!!!!!!!!!!!!!!!!!!!!!!!!
@brookegregg8115,ok can we just take a moment to appreciate America
@jamesedwards3410,"The more I see this, the more I wonder how in the hell this didnt start ww3"
@NeoCynic1,"If Sir Isaac Newton were alive today with his three ""truther"" Laws of Motion, he'd be deemed a tinfoil hat conspiracy nut."
@davidortiz4389,Never forget!!
@MrGidorMr,The fact that there is no footage of a plane crashing into the pentagon makes it even scarier.
@ambera.7816,"I will never forget this day. At 15, I became an adult. The reality of how cruel the world can be was a hard pill to swallow. Let's hope as Americans we can all come together like we did after this moment."
@zklpr4661,Never forget.
@christianjohnson8036,This is so devastating
@joeanderson7316,i remember when Americans used to give to the IRA a terrorist organisation . All that stopped after this
@newpanda8178,How could u even unlike the video
@crackhead468,19 years later so sad
@looseleftie,"Never forget 9/11 and the tragic loss of lives, and please, please don't forget that your government lied to u sadly, and was either involved directly, or indirectly here.."
@threaux,Watch yo jet
@dizeydisney8260,I am only 9 years old and i went to new york for my bday and my mom told me about 9/11 and i shocked she even took me to the memorial and even no one in my family died from this event i still cried and i wish i was born when this happend i wish i could save everyone on that flight and in those buildings R.I.P to all of the innocent people who lost thier lives that day
@nowankersallowed2115,Never forget.. thank you Trump for allowing us to remember the realities.. may God bless you.. though not for sneezing.. it's time the reality is brought back into place.
@GrizoLive,Imagine them calling there parents
@henrya773,"Terrible, man turning to an animal."
@ragewell2097,This is the retribution of the U.S. for doing so many terrible things.
@MitsubishiEndeavor,Blood chilling fact: the first first responder that died was a firefighter killed by a falling man
@danieldroukis5431,A few minutes into the video Giulliani is telling people to put a mask on...........the irony to watch that now..
@eliaszuniga3385,How can humans do this to other humans is beyond me. I just can't comprehend it.
@Adamiaq,RIP
@lukhmanthufile,Is there a movie or documentary based on this incident? I wanted to know more about it
@susanappiah6729,This was a wake up call to this centurary
@susanappiah6729,And people still say 2020 is bad...
@susanappiah6729,Who's watching in quarantine
@Joseph-ny5rr,I have seen this footage hundreds of times and my blood still boils. I cry everytime watching this
@joecorby1229,I sure am glad to be Canadian
@jellytunes,They wore masks during this and during corona virus...
@f.b.i645,My dad died there... he was a great pilot
@aaliyahadams8589,This is sad a lot of people died whyy did this happen
@stifleseelefox6767,ii
@goatgodly3433,"On that day the world changed forever... Racism spiked, hatred of the Middle East spiked, security tightened, and America became a lot more hateful."
@trilljosh7,Dam its just so crazy to imagine seeing this in person
@courier6467,Every terrorist even slightly involved in this deserve a slow and painful death
@Butt_Devil,Heartbreaking
@nightmaredreams7628,I remember my school teacher said he was at work at this restaurant before he became a teacher he said u could see the towers from his restaurant and he said he saw the plane hit it and the news changed over to this tragedy he said the hole restaurant went quite and some started crying everyone stopped eating breakfast and looked with shock as one of the worst attacks unfoled before there eyes
@nightmaredreams7628,This made the hole if America silent in shock and horror
@TheJangoFR,Everything I see about this day makes my stomach wrench
@jchrg2336,"not building shit for humans no more..you build, others destruct it! ..lol"
@jchrg2336,Don't ever ask a earthly human do do more than what is the average norm... If you want to brag of equality!
@jchrg2336,Make it extreme
@danielfabritsky2936,"There was a parade at the top, Osama falls, gets crucified and planes hit"
@almurphy5433,"YouTube deleted ""banned"" news reports on 9/11. First hand accounts that contradicts the official 9/11 story with millions of viewers. They were re-posted in many cases but made obscure...WHY??"
@Seth622,6:41 god dammit
@ansonpang,"Remember, America has killed more than 1 million and displaced more than 5 million people in the Middle East region. It has caused conflicts in many countries in Asia and has not removed themselves from the area. So, who are the real terrorists? Both sides are."
@cookie___playz4490,This makes me remember Kobe Bryant :(
@martinealcius3014,let try to not let9/11 happen we are usa storng
@zakimohamed3621,The biggest sacrifice made by America to interfere in Arab affairs ... and who contributed to spreading this big lie is our beloved media
@claudiavargas7983,I fell so Bad
@mviffmvvk1552,19 years later corona virus came and people who died in the corona in the states is more than who died in the corona
@BecD1983,"Bush, you organised this attack, along with your other reptilian conrads"
@karadytube,If there were an airplane that had the ability to throw a water in the hole
@yourfav5head317,"It's been 19 years , how crazy is that"
@pierrepinson2906,Jem & the Holograms.
@martinealcius3014,sad
@willowberkeley9803,It's 2020 this came up in dinner we were talking about birthday and it came up because my brother has his birthday on 11 September and looking at this is crazy RIP all who suffered from this horrible attack
@willowberkeley9803,Any one in 2020
@adams00111,RIP
@firacingast,"19 years on and I still won't ever forget this day. It was one of my first memories in life, and it's a day I cannot and will not ever forget. Rest in peace to everyone who lost their lives that day and those that have died from medical complications sustained in the fight to save others lives that day. Having been to the monument in NY, it's extremely humbling and the emotions of this day still weigh on American shoulders there every single day. Our emergency services in this country get a lot of flak at times, but they're heroes and we need to remember that. They risk their lives day in and day out, and sometimes they pay with them so that we can have a safe society. Thank you to all the police, fire, emergency, and military service members! You are appreciated."
@charrisearmistead4628,that sucks my son stayed home from school and we watched it on TV he couldn't understand
@rustycyborg7960,i relized that the corona happend 20 years later and terrible stuff happed in the years in between
@arisyafarhna9826,"2:40 ""The plane hit the other towers and people are jumping out of windows! They were jumping out the windows i guess because they were trying to save themselves- I dont know!"" OHH PLEASE THIS MAKE ME CRYY AGAIN WATCHING"
@stuff5757,I feel bad for anyone that has survived this (of there was somebody who did) or people who were close to the towers. Imagine living with that trauma.
@goldenmaster7327,The 400 people who disliked this shame on you.
@AbhishekForYou_,1:06 i see the second aircraft
@raedahmad3637,hyu thuyr bhuy jkilok csert 11 sektember huyt sangy want tru hgfd lopu sanchi pa ku gang su pi weat contyu hyu xu cos cos cos
@Doggo_Norse,I hope the Innocent people and the first responders died knowing that they were heroes. Rest In Peace
@royaltygmoney203,This happened in my 1st birthday
@karnail_rajput.45,OMG....
@randomtraveler4687,I will never forget that day ....I wish to grab the one who did this . And send him to hell
@elhananrokah8486,"We have experienced quite a bit in Israel, it is the most painful our world has seen."
@jennmel5614,"19 years later and here we are, God please keep the souls and the family of all those in your hands, this event is very important and I thank God that everything is ok now"
@davidboinonen9613,19 years later I still can't breath. I'm Angry. I want to fight and I will.
@louisewoodward9,"This has got to be the most harrowing, haunting time in our generation. A true tragedy. This is something that never will be easy to watch. Rest In Peace beautiful souls."
@el_Miguel_,"Am from Finland, I wasnt born yet this day but this is still so..... unreal, horrible and sad"
@enlkel9848,i like this comideie
@enlkel9848,very funny video
@enlkel9848,lol xd
@scottsakajian1766,As we leave Afghanistan now 19 years later. Got I hope this never happens again. And I pray that president Trump is doing the right thing by pulling out. I would rather us Bomb them for 100 years in their country than ever see this happen again in my own.
@Star-ou5gq,Things that happend to my family when this happend 1. My great aunt was stranded in Jamaica (planes were grounded) 2. My uncle was stranded in Mississippi 3. My dad couldnt go into work 4. My sister was only a few months old
@christopherdempsey3878,I was only 7 years old when it happened. I'm now 26.
@karengallardo5538,"All i can do is cry , it was so awful"
@eChrisBC,2:04 Woman standing in the open hole
@m.a.3322,This was the most shocking example of unparalleled human hatred. We as a race are flawed in every way. There is very little good in us. RIP to those who lost their lives
@kharanh6758,China no ok
@chelsea2763,This makes me cry so much.
@harryrivera8479,WE WILL NEVER FORGET.
@taapoonkaew,#Savior #Thanks #Thanksful #Thanksgiving In precious sacred name of Jesus Christ Amen
@MegaBekem,Just another reason why Islam needs to be eradicated from existence and all Islam's followers to be executed!
@avanimm5046,9/11 in America nd 26/11 in India... Idk y Pakistan isn't taking action on its mf terrorism..
@jennycheeks9215,"Never forget! RIP to all the men, women, kids, babies whose lives were taken. May you all rest in peace"
@bhpturboboost,"if it is possible for an open flame to melt the metal frame of the building then by the same logic your car engine would melt every time you drove your car motorbike truck and so on .... you need a furnace to melt or cast metal , that is its only purpose and reason for the the existing of a furnace ....the attack was a black flag- probably c.i.a /fbi operation ..."
@steeldriver8577,"I remember nothing like this had ever happened before. I was in the 6th grade. Every TV was on and all teachers and students fell silent. Many had gathered in the music classroom which was very large. At first I didn't know what was going on. By the second crash, I watched some of the teachers sink to the floor in tears. By the time cameras were showing people jumping to their deaths, I'd been provoked to a state of anger, I couldn't even comprehend my own emotions. On my 18th birthday, I joined the military."
@Mr.delGayto,So sorry America :(
@lovelydayse3207,America deserve it I remember I have big celebrate that day
@kimreithel4310,I live upstate New York and I was 1 years old when 911 happened it's just So sad.
@codyspaulding6012,I was in home room in 6th grade. Fast forward to 9/11/2008 and enlisted in the military to help fight against these acts of terror. God bless the victims of this horrific day. Been 18 years and remember it like yesterday.
@louanarose,"I was 1 year old when this happened... i am a Romanian and seeing what happened to American citizens and even people from all around the globe made me sooooo sad. If I will even get the chance to go to America I will visit the twin towers pools and say my prayers right there for those angels to hear me. Even Romanians died on 9/11.. so devastating. God bless America, God bless Romania and God bless all the countries that got affected by this tragic and horror thing. Never forget."
@ernest747,CNN is a masonic scam funded by George Soros and the DNC.
@freshfade28,I still get chills watching this
@dianastandefer3172,"Never forgotten, 18 years later."
@flaccidego9468,Here's another 9/11 factoid for all you historians and curious minds: What was the 9/11 hijackers favorite football team? The New York Jets
@konanvarvar103,"Terrible tragedy! And so much monstrous lies! Have you ever wondered why the three buildings collapsed strictly vertically down? in free fall! not one skyscraper in history did not collapse from the fire, and here the three buildings came collapsed strictly vertically! few hours ... in one place ... as if by magic, you have to be either blind or an idiot to believe official version, everyone looks only at the planes and does not see the main thing!"
@shakhzoda7356,Xudashona vineshon
@blubb2010,"I still remember this day as it was yesterday. I came home from school and dad had lunch ready. We sat down zapping through the programs and at first we didn't pay much attention to the programs but thought what in hell is goin on. Same old stuff on all programs so turned up the volume. I couldn't eat any longer as I listned to what the news said. I'm not even American but it hit me hard, it was so unreal and shocking. Still when I watch this now I can't hold back tears. Let's hope Events like that never happen again. So many lost their lives for nothing."
@f350joe,This is still hard to watch almost 20 years later
@tornado_el_dragon,My survive uncle to the attack of the south tower had to go down to the reception to leav some documents when the first tower was hit by the plane.
@markyounger1240,Why were the news anchors the only people not watching the live video feed. We all saw the plane hit but they didn't seem to have a clue.
@krunalraghavani228,This is does because America made Osama bin Laden for their Profit...and America funded lots of doller that become terrorist and now they harm India also because of America terrorfunding Pakistan to sell weapons
@crystalmungle3277,So sad RIP
@charleswesley9907,"The Jews did it .Odigo , an Israeli owned messenger service warned all the Jews about the attack 2 hours before . And insider trading revealed Jews divesting themselves of the 2 airline stocks and insurance carriers involved before the attack . The hard drives were not all destroyed in the collapse of the buildings . But now the Jews are attacking us again .Yes almost entirely Jews are heading and witnessing against our president . The Protocols of Zion are real and the Jews are proving that now ."
@Insulindependantfati,LOL at George Bush's first comments. Added some sort of relief to this video.
@unknown-ll8cb,Fuck you pakistan
@JavierArveloCruzSantana,"I was a sophomore in college when my friend burst into the room and said, ""The Chinese bombed the Pentagon."" The rest of the chaos is history. I've never been so scared in my life. I thought WWIII had begun."
@harbimidiyosunkanka,"Imagine the pain the people who could not even recover their loved ones' bodies still go through. The fact that they'll never find out how exactly they died & all they know is that they were in the WTC that day, suddenly vanished and will never come back must be so, so, soooo painful to live with...."
@Rubensgardens.Skogsmuseum,President sure had big words on those papers...
@yeebot3071,Imagine on a normal morning you turn on the tv to watch the news and see this
@leventaknc9344,History books to write that day as the beginning of world war III.
@komilajoshi,I think that 9/11 of America and 26/11 of India would be the most dangerous attack ever that would have happened on any state
@doshin7777,The fourth one was supposed to hit the White House??
@nicolebaro9645,Rip
@nicolebaro9645,This is a sad story along with titanic Chernobyl and Hindenburg
@tuutaunuu4570,"This was happened when I was 5 to 6 years ., its like looking back with a full sad moments RIP to you all."
@user-fb9vt6yn4i,That bill was crashed by bombs
@manuelyseyde87,This was before i was born thats insane and i was born in 2007
@trioastudios5647,"Almost 2 decades, The twin towers and many other landmarks shouldnt have faced this and neither should the passengers and civilians in the tower(s)"
@davidmakaveli4614,Armerikkka bomb itself its very heartbreaking
@cxmpmade-8129,9/11 was planned
@Lesiba2,imagine if the third attack had reached its target which was the White House in Washington DC. these attacks became the pinnacle of psychological scars for the American society. these attacks bred the Islamophobia that we now know
@boiledpotato4881,Terrorists just want to kill people. They are just crazy. They enjoy hurting people.
@kesaya3806,9/11/01 9:11:01 Notice anything?
@smithandsuperdeadeyeofthew823,Rest in peace WTC 1971 2001 World Trade Center you'll never be forgotten
@nicolegarcia1322,My mom told me that she was under that floor and she heard when she went to the window she saw people falling
@ronaknikam23,Can't imagine how people near the scene feel that day
@xtrydelta7596,i was a year old and i lived in Hazelton PA my mother recieved a call to pick me up from Day Care
@Hipsteren,Warpigs.
@hezsurnarcissus1460,"Still makes me cry. Probably always will. I heard the memorial area feels spooky. I hope it's haunted. Those people died in a horrible way, so don't leave. Stay."
@AlienGenotype,"It wasn't just those planes that took those buildings down, there had to be something else as well. Especially the first one that got hit, it got hit almost near the top and for some reason it collapsed to a pile of rubble like an hour later..."
@markyounger1240,I can't believe how none of the news anchors saw the second plane hit.
@vinovijay2185,RIP
@PresbyterianSoldier,"Whats so hard for me to watch now. Is just how far we as Americans have changed. In 2001 CNN was respected, trusted, and even admired as the first place to find truth and get caught up on what was going on in the world. Today CNN is actually a weapon. They are solely in existence to manipulate the people, corroborate, and push the Democratic agenda. I am truly deeply saddened by this. What happened to you @CNN you used to be so admirable. I know my little comment will fall on deaf ears, and as social media usually produces, a lot of hate messages, threats, and even defamation. I don't care. My God, My God why have you forsaken me? And given me this no longer identifiable version of what once was a reliable, respected, and meaningful information source........Now I stand ready for the Hundreds of Hateful emails from Democrats attacking me, putting down my faith, and threatening me and my my family. Basically proving my point. God, Please help us. We are children in a tantrum with no way of stopping."
@felspawn1941,"How could anyone believe they were not imploded by demolition. The truth is right here put all the words aside watch implosion videos and compare ,no collapse falls at freefall speeds, controlled demolition does tho..... U.S.A. proved to be a big joke that day . I'm sorry for all the people who got caught up in that tragically horrible moment and ,all the families who watched it happen to their loved ones . R.I.P."
@felspawn1941,What about building seven ......
@shinyonpc9810,Never forget 9/11
@ambiguity7085,Fuck the FEDS
@rainain9312,where i was 13 me and my dad watching this live in bbc news. now i'm 31
@michaelhux2272,"when you learn about evil politics you will know Israel, usa, Saudi arabia all conspired to fool the American people into a war for the synagogue of satan. even the media was in on it. why wasn't the ntsb national safety transportation board on the scene of the plane crashes especially flight 93 in western Pa. they were told to stand down and not report to any crash. because their were no planes to recover. and the one in Pa. NTSB would have told the world that no plane crashed in Pa. that's why it came from the top. NTSB is world renown for American high jacked and crashed planes and they would not play along with the bush admin and Israel and the rest of those neo Zionist Talmudic khazar fake jews."
@TeeDee87,"For start to point it, I'm not American, I live in Europe. But the day this happened I was 14 years old. I've got my first broadband internet couple days before which I couldn't get working. When I finally figured it out and got it working I was excited as teenager can be. Checked that is my connection working went to yahoo.com. First thing I see is this (first plane has just hit the first tower). Whole day I was reading and watching tv trying to understand that what had happened and when it was clear that this is terrorist attack I can't describe the shock inside me. How in hell can someone be so bad to others that does this? Everyday there happens very bad things all around the globe that are so mean and disgusting but this event was by far in my books the most disgusting terrorist attack in my lifetime."
@mikealtan739,Islam-The religion of peace and love.
@fortnite-tq7vx,"Every single one of these people that died that day, deserved to die. God doesn't just take lives for no reason. These people were bad people in one way or another. Get the fuck over it."
@Miko-yr7qn,My grandmas uncle died in the south tower she was heart broken
@rhysmyrrh3084,May we honor every lost life who tried their best to protect the 50 states they all love.
@user-fd7yr2ov2l,"""Some people did something"" -Ilhan Omar"
@montana7544,Saudi Israel job
@manwithtwoeyes6911,Whoever thought it was an accident after the second plane hit is a true idiot. Sorry for being rude but its true.
@Enni27,"At 6:50, right after the North tower collapsed, you can see the staircase and elevator part still standing. People were on those stairs and survived."
@nts713,"Deep down we all know in our hearts that this event could have been stopped. Other nations knew, yet they allowed this to happen to us, shame on them, shame on EVERYONE who used this Event to lead us into a Never ending war on terror. What is a war against an enemy that continually remains unnamed!"
@yourfav5head317,The innocence of the 90's ended that day
@DellFanProductions,"I was only 21 months old when this happened (born on December 21st, 1999, literally 5.6 miles near the Twin Towers), but still it's not hard to imagine the fear, sadness, shock, and panic that were across this country when it happened on that Tuesday morning. To the point where I literally had intrusive thoughts for 8 months because I was so insecure about my childhood taking place in the same decade as these terrorist attacks. My parents stayed home for a week just to make sure I was safe and to know what the hell was going on."
@Abenomiks,i was at kfc when it happened
@excellentministry8959,thats a big fire
@tayyathreadgate2447,Every time I see this or think of it I cry cause....I lost my dad and uncle to that 9/11 incident
@nasiramini5741,What really happened ??
@diorioevan,Gut wrenching
@elmerpacheco6414,MAKE A MUNUMENT OF GORGE W BUSH HANGING UPSIDE DOWN IN NEW YORK BECAUSE IT'S GORGE W BUSH WHO CAUSED ALL THIS DISASTERS
